HCHO Reading,Location,Current Date,Next Date,Precipitation,Wind Direction,Latitude,Longitude,Elevation
-1.5747418729006313e-05,NUWARA ELIYA,2019-06-12,2019-06-13,2.75,254.75,6.9497,80.7891,681.44
0.0001989688025787,NUWARA ELIYA,2019-06-13,2019-06-14,0.49,254.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-14,2019-06-15,1.41,234.5,6.9497,80.7891,681.44
6.074488532642667e-05,NUWARA ELIYA,2019-06-15,2019-06-16,2.46,241.0,6.9497,80.7891,681.44
0.000101215088715,NUWARA ELIYA,2019-06-16,2019-06-17,0.08,238.0,6.9497,80.7891,681.44
8.275653874941797e-05,NUWARA ELIYA,2019-06-17,2019-06-18,0.05,240.38,6.9497,80.7891,681.44
8.291602308825832e-06,NUWARA ELIYA,2019-06-18,2019-06-19,0.19,244.88,6.9497,80.7891,681.44
4.317640515599125e-05,NUWARA ELIYA,2019-06-19,2019-06-20,0.13,253.44,6.9497,80.7891,681.44
9.229919803482012e-05,NUWARA ELIYA,2019-06-20,2019-06-21,0.16,257.56,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-21,2019-06-22,0.24,257.38,6.9497,80.7891,681.44
0.0001479365913374,NUWARA ELIYA,2019-06-22,2019-06-23,0.13,262.25,6.9497,80.7891,681.44
6.17899931725921e-05,NUWARA ELIYA,2019-06-23,2019-06-24,0.15,255.25,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-24,2019-06-25,2.22,253.88,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-06-25,2019-06-26,1.86,244.94,6.9497,80.7891,681.44
0.0001348028330007,NUWARA ELIYA,2019-06-26,2019-06-27,0.02,244.88,6.9497,80.7891,681.44
8.074711312637191e-05,NUWARA ELIYA,2019-06-27,2019-06-28,0.01,245.56,6.9497,80.7891,681.44
0.0001259997361788,NUWARA ELIYA,2019-06-28,2019-06-29,0.01,252.06,6.9497,80.7891,681.44
0.0001105386966815,NUWARA ELIYA,2019-06-29,2019-06-30,0.01,253.38,6.9497,80.7891,681.44
0.0001086163531717,NUWARA ELIYA,2019-06-30,2019-07-01,0.01,258.5,6.9497,80.7891,681.44
5.762188204561666e-05,NUWARA ELIYA,2019-07-01,2019-07-02,0.09,247.38,6.9497,80.7891,681.44
0.0001623492259486,NUWARA ELIYA,2019-07-02,2019-07-03,0.35,236.12,6.9497,80.7891,681.44
0.0001738523006491,NUWARA ELIYA,2019-07-03,2019-07-04,0.37,235.94,6.9497,80.7891,681.44
-1.9064508329208183e-05,NUWARA ELIYA,2019-07-04,2019-07-05,0.07,226.31,6.9497,80.7891,681.44
0.0001177761070948,NUWARA ELIYA,2019-07-05,2019-07-06,0.06,226.31,6.9497,80.7891,681.44
0.0001369265480897,NUWARA ELIYA,2019-07-06,2019-07-07,0.05,238.56,6.9497,80.7891,681.44
0.0001863186505513,NUWARA ELIYA,2019-07-07,2019-07-08,0.02,249.19,6.9497,80.7891,681.44
0.00024779655935,NUWARA ELIYA,2019-07-08,2019-07-09,0.03,243.81,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-09,2019-07-10,9.7,238.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-10,2019-07-11,6.48,239.0,6.9497,80.7891,681.44
0.0001292302443306,NUWARA ELIYA,2019-07-11,2019-07-12,1.33,245.69,6.9497,80.7891,681.44
0.0001169642800239,NUWARA ELIYA,2019-07-12,2019-07-13,4.05,235.81,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-13,2019-07-14,11.19,217.25,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-14,2019-07-15,4.18,229.31,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-15,2019-07-16,1.47,247.69,6.9497,80.7891,681.44
5.911798409791456e-05,NUWARA ELIYA,2019-07-16,2019-07-17,1.44,254.44,6.9497,80.7891,681.44
3.329885377230573e-05,NUWARA ELIYA,2019-07-17,2019-07-18,4.51,253.5,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-18,2019-07-19,13.84,263.06,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-19,2019-07-20,11.13,266.62,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-20,2019-07-21,0.6,270.25,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-21,2019-07-22,4.81,263.69,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-22,2019-07-23,2.42,262.38,6.9497,80.7891,681.44
9.433908685854995e-05,NUWARA ELIYA,2019-07-23,2019-07-24,0.07,261.44,6.9497,80.7891,681.44
0.0001659327228923,NUWARA ELIYA,2019-07-24,2019-07-25,1.09,255.88,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-07-25,2019-07-26,3.25,239.56,6.9497,80.7891,681.44
0.0001184712242621,NUWARA ELIYA,2019-07-26,2019-07-27,0.92,241.44,6.9497,80.7891,681.44
0.0001114548395224,NUWARA ELIYA,2019-07-27,2019-07-28,0.07,243.5,6.9497,80.7891,681.44
4.187517193366405e-05,NUWARA ELIYA,2019-07-28,2019-07-29,0.01,249.94,6.9497,80.7891,681.44
0.0001617242205137,NUWARA ELIYA,2019-07-29,2019-07-30,0.01,240.12,6.9497,80.7891,681.44
0.0001080114271866,NUWARA ELIYA,2019-07-30,2019-07-31,0.01,250.31,6.9497,80.7891,681.44
7.751671709410368e-05,NUWARA ELIYA,2019-07-31,2019-08-01,0.85,248.38,6.9497,80.7891,681.44
0.0001329736920653,NUWARA ELIYA,2019-08-01,2019-08-02,2.64,226.38,6.9497,80.7891,681.44
8.792586073765203e-05,NUWARA ELIYA,2019-08-02,2019-08-03,0.26,220.06,6.9497,80.7891,681.44
5.651169903300146e-05,NUWARA ELIYA,2019-08-03,2019-08-04,0.02,223.69,6.9497,80.7891,681.44
-4.559879989678232e-05,NUWARA ELIYA,2019-08-04,2019-08-05,0.78,237.19,6.9497,80.7891,681.44
-3.059205259604564e-05,NUWARA ELIYA,2019-08-05,2019-08-06,3.06,237.69,6.9497,80.7891,681.44
